# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms
# Project :  Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T15:30:57Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
IIRF,2021-01-06T12:53:33Z,2021-01-06T12:53:33Z, ,BS_PR_CT_IIRF_2010,Institute of Fishery Resources (IFR),191,PRES TEMP PSAL,43.3,28.65,2010-09-18T01:00:00Z
Kaciveli,2021-01-06T12:52:46Z,2021-01-06T12:52:46Z, ,BS_TS_TG_Kaciveli,Marine Hydrophysical Institute (Ukraine),727,DEPH SLEV,44.416,34.05,2012-03-22T13:00:00Z
LYFT,2020-01-27T06:42:39Z,2020-01-27T06:42:39Z,LYFT,GL_PR_CT_LYFT,Unknown institution, ,PRES PHOS PSAL SLCA TEMP DOX1,44.60000,37.73300,1992-11-22T21:19:48Z
OCL0286,2020-01-27T10:33:24Z,2020-01-27T10:33:24Z,OCL0286,GL_PR_CT_OCL0286,Unknown institution, ,DEPH PRES PSAL TEMP DOX1 PHPH NTRA PHOS SLCA,44.46667,37.80000,2005-06-30T09:00:00Z
OCL0393,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0393,GL_PR_CT_OCL0393,Unknown institution, ,DEPH PRES TEMP PSAL DOX1 PHPH NTRA PHOS,47.08880,39.25040,2006-12-17T07:46:12Z
OCL0394,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0394,GL_PR_CT_OCL0394,Unknown institution, ,DEPH TEMP PSAL,46.82180,37.54230,2002-06-23T16:37:12Z
OCL0395,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0395,GL_PR_CT_OCL0395,Unknown institution, ,DEPH PRES PSAL TEMP DOX1 PHPH NTRA PHOS,46.25850,37.63980,2006-07-01T05:19:48Z
OCL0396,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0396,GL_PR_CT_OCL0396,Unknown institution, ,DEPH TEMP PSAL,47.12700,39.34500,2001-07-04T14:01:12Z
OCL0397,2020-01-27T11:42:56Z,2020-01-27T11:42:56Z,OCL0397,GL_PR_CT_OCL0397,Unknown institution, ,DEPH TEMP PSAL NTRA PHOS SLCA,44.99300,36.56180,2003-06-26T10:30:00Z
OCL0404,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0404,GL_PR_CT_OCL0404,Unknown institution, ,PRES PSAL TEMP DOX1 PHOS SLCA PHPH NTRA CHLT,46.54700,32.23670,1994-05-14T07:51:00Z
OCL0405,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0405,GL_PR_CT_OCL0405,Unknown institution, ,PRES PSAL TEMP,44.74500,36.98170,1993-05-12T03:46:12Z
OCL0406,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0406,GL_PR_CT_OCL0406,Unknown institution, ,DEPH PRES CHLT DOX1 NTRA SLCA PHOS PSAL TEMP,45.08000,29.68000,1999-09-16T16:34:47Z
OCL0407,2020-01-27T11:42:54Z,2020-01-27T11:42:54Z,OCL0407,GL_PR_CT_OCL0407,Unknown institution, ,PRES PSAL TEMP,44.00000,33.25000,1993-11-07T07:49:12Z
SHO1013,2019-05-10T22:34:28Z,2019-05-10T22:34:28Z,SHO1013,GL_PR_CT_SHO1013,SHOM  Service Hydrographique et Oceanographique de la Marine,540,DEPH PSAL TEMP,40.58167,26.49333,1997-09-10T14:37:00Z
TC5393,2020-01-27T17:42:52Z,2020-01-27T17:42:52Z,TC5393,GL_PR_CT_TC5393,Unknown institution, ,PRES TEMP PSAL DOX1 PHOS NTRA ALK3,42.75000,33.57000,1957-08-05T20:15:00Z
UFEW,2020-01-27T18:04:30Z,2020-01-27T18:04:30Z,UFEW,GL_PR_CT_UFEW,Unknown institution, ,DEPH TEMP,44.56111,38.04167,2004-11-11T07:40:12Z
UHRM,2020-01-27T18:14:24Z,2020-01-27T18:14:24Z,UHRM,GL_PR_CT_UHRM,Unknown institution, ,DEPH PRES SLCA DOX1 PSAL TEMP PHOS PHPH,45.65000,31.91700,1986-05-31T09:00:00Z
UILZ,2020-01-27T18:20:41Z,2020-01-27T18:20:41Z,UILZ,GL_PR_CT_UILZ,Unknown institution, ,DEPH DOX1 NTRA SLCA TEMP PHOS PSAL,45.45000,36.70000,1959-08-25T10:42:00Z
